units_sold,badges_count,shipping_option_price,inventory_total,has_urgency_banner,merchant_info_subtitle,product_id,uses_ad_boosts
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(3.995775-4.004122]\'','\'(33-inf)\'','\'(0.999647-inf)\'','(568 notes)',5e9ae51d43d6a96e303acdb0,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.000573-2.999816]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','85 \% avis positifs (703 notes)',5ebb9faea86f7a4d86e2f6fb,1
'\'(2.456275-4.618199]\'','\'(0.002146-0.992962]\'','\'(3.006102-3.995775]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','85 \% avis positifs (703 notes)',5ebb9faea86f7a4d86e2f6fb,1
'\'(6.910279-8.514816]\'','\'(-inf-0.002146]\'','\'(1.0053-1.996401]\'','\'(33-inf)\'','\'(0.999647-inf)\'','83 \% avis positifs (32,168 notes)',5926a32e5b3cde33d7993689,1
'\'(6.910279-8.514816]\'','\'(0.002146-0.992962]\'','\'(1.0053-1.996401]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','83 \% avis positifs (32,168 notes)',5926a32e5b3cde33d7993689,1
'\'(6.910279-8.514816]\'','\'(-inf-0.002146]\'','\'(1.0053-1.996401]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','83 \% avis positifs (12,006 notes)',5d14546bf5eab044136b2540,1
'\'(8.519045-9.208853]\'','\'(-inf-0.002146]\'','\'(2.000573-2.999816]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','83 \% avis positifs (12,006 notes)',5d14546bf5eab044136b2540,1
'\'(4.618199-6.907155]\'','\'(-inf-0.002146]\'','\'(1.0053-1.996401]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','(66,644 notes)',5edf07e70b313014b48a7450,1
'\'(8.514816-8.519045]\'','\'(0.002146-0.992962]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','(66,644 notes)',5edf07e70b313014b48a7450,1
'\'(6.910279-8.514816]\'','\'(0.002146-0.992962]\'','\'(2.000573-2.999816]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','82 \% avis positifs (1,260 notes)',5e142bd2ffb8db76f604cfc7,1
'\'(8.519045-9.208853]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','82 \% avis positifs (1,260 notes)',5e142bd2ffb8db76f604cfc7,1
'\'(8.519045-9.208853]\'','\'(-inf-0.002146]\'','\'(1.0053-1.996401]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','83 \% avis positifs (17,752 notes)',5af406469be1de3b00f73128,1
'\'(4.618199-6.907155]\'','\'(-inf-0.002146]\'','\'(1.0053-1.996401]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','83 \% avis positifs (17,752 notes)',5af406469be1de3b00f73128,1
'\'(9.211215-9.899354]\'','\'(-inf-0.002146]\'','\'(4.004122-4.968891]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','83 \% avis positifs (12,441 notes)',5d00c646e1fe9971cb8aeb9a,1
'\'(6.910279-8.514816]\'','\'(-inf-0.002146]\'','\'(2.000573-2.999816]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','83 \% avis positifs (12,441 notes)',5d00c646e1fe9971cb8aeb9a,1
'\'(4.618199-6.907155]\'','\'(0.002146-0.992962]\'','\'(2.000573-2.999816]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','88 \% avis positifs (66,644 notes)',5c9ca27e5aee12258c2f341c,1
'\'(4.618199-6.907155]\'','\'(0.002146-0.992962]\'','\'(1.0053-1.996401]\'','\'(33-inf)\'','\'(0.999647-inf)\'','88 \% avis positifs (66,644 notes)',5c9ca27e5aee12258c2f341c,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(3.006102-3.995775]\'','\'(33-inf)\'','\'(0.999647-inf)\'','89 \% avis positifs (514 notes)',5ea0f2a654446407c111b622,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(3.006102-3.995775]\'','\'(33-inf)\'','\'(0.999647-inf)\'','89 \% avis positifs (514 notes)',5ea0f2a654446407c111b622,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','80 \% avis positifs (3,762 notes)',5e609a827dc79ebbd3899c0b,1
'\'(6.907155-6.910279]\'','\'(0.002146-0.992962]\'','\'(2.000573-2.999816]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','80 \% avis positifs (3,762 notes)',5e609a827dc79ebbd3899c0b,1
'\'(4.618199-6.907155]\'','\'(0.002146-0.992962]\'','\'(1.0053-1.996401]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','92 \% avis positifs (4,508 notes)',5d134234b8b4be6c4ed403ff,1
'\'(4.618199-6.907155]\'','\'(0.002146-0.992962]\'','\'(2.000573-2.999816]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','92 \% avis positifs (4,508 notes)',5d134234b8b4be6c4ed403ff,1
'\'(4.618199-6.907155]\'','\'(-inf-0.002146]\'','\'(2.000573-2.999816]\'','\'(33-inf)\'','\'(0.999647-inf)\'','83 \% avis positifs (247 notes)',5e9915ef9fae4f26f32f15df,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.000573-2.999816]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','83 \% avis positifs (247 notes)',5e9915ef9fae4f26f32f15df,1
'\'(4.618199-6.907155]\'','\'(-inf-0.002146]\'','\'(1.0053-1.996401]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','84 \% avis positifs (7,936 notes)',5db3bb3bede8100679c50fb7,1
'\'(4.618199-6.907155]\'','\'(-inf-0.002146]\'','\'(2.000573-2.999816]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','84 \% avis positifs (7,936 notes)',5db3bb3bede8100679c50fb7,1
'\'(4.618199-6.907155]\'','\'(-inf-0.002146]\'','\'(1.0053-1.996401]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','83 \% avis positifs (12,006 notes)',5d14546bf5eab044136b2540,1
'\'(6.910279-8.514816]\'','\'(-inf-0.002146]\'','\'(2.000573-2.999816]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','83 \% avis positifs (12,006 notes)',5d14546bf5eab044136b2540,1
'\'(8.519045-9.208853]\'','\'(-inf-0.002146]\'','\'(1.0053-1.996401]\'','\'(33-inf)\'','\'(0.999647-inf)\'','87 \% avis positifs (14,095 notes)',5cf7a100809b316c5d761f61,1
'\'(8.519045-9.208853]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','87 \% avis positifs (14,095 notes)',5cf7a100809b316c5d761f61,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','(4,435 notes)',5eccd22b4497b86fd48f16b4,1
'\'(6.910279-8.514816]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(4,435 notes)',5eccd22b4497b86fd48f16b4,1
'\'(6.910279-8.514816]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','(73,271 notes)',5e93d2215a3eed0c80ed2e56,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(2.000573-2.999816]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','(73,271 notes)',5e93d2215a3eed0c80ed2e56,1
'\'(4.618199-6.907155]\'','\'(-inf-0.002146]\'','\'(1.0053-1.996401]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','86 \% avis positifs (12,309 notes)',5cf632d1c0baab5b15e71437,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.0053-1.996401]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','86 \% avis positifs (12,309 notes)',5cf632d1c0baab5b15e71437,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.0053-1.996401]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','79 \% avis positifs (111 notes)',5ea8f08300a7ca1e25baf3e1,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.0053-1.996401]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','79 \% avis positifs (111 notes)',5ea8f08300a7ca1e25baf3e1,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','(22,711 notes)',5df202bb707508021388614a,1
'\'(4.618199-6.907155]\'','\'(-inf-0.002146]\'','\'(1.0053-1.996401]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(22,711 notes)',5df202bb707508021388614a,1
'\'(4.618199-6.907155]\'','\'(-inf-0.002146]\'','\'(3.006102-3.995775]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','89 \% avis positifs (14,291 notes)',5cdbfec689dab63d46b47cc5,1
'\'(8.519045-9.208853]\'','\'(-inf-0.002146]\'','\'(3.006102-3.995775]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','89 \% avis positifs (14,291 notes)',5cdbfec689dab63d46b47cc5,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.0053-1.996401]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','86 \% avis positifs (114 notes)',5e707d59ad58d64d89a54409,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.0053-1.996401]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','86 \% avis positifs (114 notes)',5e707d59ad58d64d89a54409,1
'\'(4.618199-6.907155]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','83 \% avis positifs (247 notes)',5e9915ef9fae4f26f32f15df,1
'\'(4.618199-6.907155]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','83 \% avis positifs (247 notes)',5e9915ef9fae4f26f32f15df,1
'\'(8.519045-9.208853]\'','\'(0.002146-0.992962]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(21,012 notes)',5d29bc2ed35393550e31d6f3,1
'\'(8.519045-9.208853]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','(21,012 notes)',5d29bc2ed35393550e31d6f3,1
'\'(8.519045-9.208853]\'','\'(-inf-0.002146]\'','\'(2.000573-2.999816]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','87 \% avis positifs (42,919 notes)',5acb0ab0a69e66115b133cec,1
'\'(8.519045-9.208853]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','87 \% avis positifs (42,919 notes)',5acb0ab0a69e66115b133cec,1
'\'(4.618199-6.907155]\'','\'(0.002146-0.992962]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','88 \% avis positifs (31,138 notes)',5ebe0ead593b960eb1c82d0b,1
'\'(6.910279-8.514816]\'','\'(-inf-0.002146]\'','\'(1.0053-1.996401]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','88 \% avis positifs (31,138 notes)',5ebe0ead593b960eb1c82d0b,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.0053-1.996401]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','84 \% avis positifs (5,654 notes)',5df77ce97ad7980a900781e0,1
'\'(6.910279-8.514816]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','84 \% avis positifs (5,654 notes)',5df77ce97ad7980a900781e0,1
'\'(4.618199-6.907155]\'','\'(-inf-0.002146]\'','\'(3.006102-3.995775]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','78 \% avis positifs (288 notes)',5eaa6d9c8d99eb3ec06709f4,1
'\'(4.618199-6.907155]\'','\'(0.002146-0.992962]\'','\'(1.0053-1.996401]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','78 \% avis positifs (288 notes)',5eaa6d9c8d99eb3ec06709f4,1
'\'(8.519045-9.208853]\'','\'(-inf-0.002146]\'','\'(1.0053-1.996401]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(59,903 notes)',5cd3e32fd908537780580e43,1
'\'(9.211215-9.899354]\'','\'(-inf-0.002146]\'','\'(2.000573-2.999816]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(59,903 notes)',5cd3e32fd908537780580e43,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.0053-1.996401]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','84 \% avis positifs (16,487 notes)',5c90908b8625751a972408f1,1
'\'(4.618199-6.907155]\'','\'(0.002146-0.992962]\'','\'(2.000573-2.999816]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','84 \% avis positifs (16,487 notes)',5c90908b8625751a972408f1,1
'\'(4.618199-6.907155]\'','\'(0.002146-0.992962]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','83 \% avis positifs (1,050 notes)',5cde56ea6bbbd86b1cbab4a8,1
'\'(4.618199-6.907155]\'','\'(0.002146-0.992962]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','83 \% avis positifs (1,050 notes)',5cde56ea6bbbd86b1cbab4a8,1
'\'(6.907155-6.910279]\'','\'(0.002146-0.992962]\'','\'(2.000573-2.999816]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','90 \% avis positifs (6,357 notes)',5a755aca35ca8610fb54bfc3,1
'\'(4.618199-6.907155]\'','\'(-inf-0.002146]\'','\'(2.000573-2.999816]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','90 \% avis positifs (6,357 notes)',5a755aca35ca8610fb54bfc3,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.000573-2.999816]\'','\'(33-inf)\'','\'(0.999647-inf)\'','85 \% avis positifs (27,175 notes)',5eccb8aa18e87d64f13e012c,1
'\'(2.29756-2.456275]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','85 \% avis positifs (27,175 notes)',5eccb8aa18e87d64f13e012c,1
'\'(4.618199-6.907155]\'','\'(-inf-0.002146]\'','\'(2.000573-2.999816]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','81 \% avis positifs (18,138 notes)',5e5e09065b03ef0b420f333f,1
'\'(6.910279-8.514816]\'','\'(0.002146-0.992962]\'','\'(2.000573-2.999816]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','81 \% avis positifs (18,138 notes)',5e5e09065b03ef0b420f333f,1
'\'(8.514816-8.519045]\'','\'(0.002146-0.992962]\'','\'(2.000573-2.999816]\'','\'(33-inf)\'','\'(0.999647-inf)\'','89 \% avis positifs (246,312 notes)',5ec1ffa502f451526044f724,1
'\'(8.519045-9.208853]\'','\'(-inf-0.002146]\'','\'(2.000573-2.999816]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','89 \% avis positifs (246,312 notes)',5ec1ffa502f451526044f724,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','86 \% avis positifs (12,919 notes)',5ebf573c45f8f02b2539663b,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','86 \% avis positifs (12,919 notes)',5ebf573c45f8f02b2539663b,1
'\'(9.899354-inf)\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','85 \% avis positifs (14,482 notes)',5ebf5819ebac372b070b0e70,1
'\'(6.910279-8.514816]\'','\'(-inf-0.002146]\'','\'(2.000573-2.999816]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','85 \% avis positifs (14,482 notes)',5ebf5819ebac372b070b0e70,1
'\'(6.910279-8.514816]\'','\'(-inf-0.002146]\'','\'(1.0053-1.996401]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','83 \% avis positifs (8,484 notes)',5e9e8180ec24302643422eff,1
'\'(9.208853-9.211215]\'','\'(0.002146-0.992962]\'','\'(2.000573-2.999816]\'','\'(33-inf)\'','\'(0.999647-inf)\'','83 \% avis positifs (8,484 notes)',5e9e8180ec24302643422eff,1
'\'(4.618199-6.907155]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','84 \% avis positifs (16,487 notes)',5c90908b8625751a972408f1,1
'\'(6.910279-8.514816]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','84 \% avis positifs (16,487 notes)',5c90908b8625751a972408f1,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.000573-2.999816]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','89 \% avis positifs (57 notes)',5edb2db0fcc85c2e12014395,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.0053-1.996401]\'','\'(33-inf)\'','\'(0.999647-inf)\'','89 \% avis positifs (57 notes)',5edb2db0fcc85c2e12014395,1
'\'(4.618199-6.907155]\'','\'(-inf-0.002146]\'','\'(1.0053-1.996401]\'','\'(33-inf)\'','\'(0.999647-inf)\'','80 \% avis positifs (3,762 notes)',5ecb7059fb408fea401d255e,1
'\'(4.618199-6.907155]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','80 \% avis positifs (3,762 notes)',5ecb7059fb408fea401d255e,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','86 \% avis positifs (54 notes)',5eb8b430e015797901090ac0,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.000573-2.999816]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','86 \% avis positifs (54 notes)',5eb8b430e015797901090ac0,1
'\'(6.910279-8.514816]\'','\'(-inf-0.002146]\'','\'(2.000573-2.999816]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','84 \% avis positifs (4,178 notes)',5cc67417a01bbd6b6c066df2,1
'\'(8.519045-9.208853]\'','\'(-inf-0.002146]\'','\'(4.004122-4.968891]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','84 \% avis positifs (4,178 notes)',5cc67417a01bbd6b6c066df2,1
'\'(4.618199-6.907155]\'','\'(-inf-0.002146]\'','\'(1.0053-1.996401]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','84 \% avis positifs (139,223 notes)',5ec5fba4a6e08e12f03e460e,1
'\'(6.910279-8.514816]\'','\'(-inf-0.002146]\'','\'(1.0053-1.996401]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','84 \% avis positifs (139,223 notes)',5ec5fba4a6e08e12f03e460e,1
'\'(8.519045-9.208853]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(4,435 notes)',5eccd22b4497b86fd48f16b4,1
'\'(6.910279-8.514816]\'','\'(-inf-0.002146]\'','\'(1.0053-1.996401]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','(4,435 notes)',5eccd22b4497b86fd48f16b4,1
'\'(6.910279-8.514816]\'','\'(-inf-0.002146]\'','\'(2.000573-2.999816]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','86 \% avis positifs (12,309 notes)',5d0b0ac9fdbec0744e2584a9,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','86 \% avis positifs (12,309 notes)',5d0b0ac9fdbec0744e2584a9,1
'\'(6.910279-8.514816]\'','\'(-inf-0.002146]\'','\'(1.0053-1.996401]\'','\'(33-inf)\'','\'(0.999647-inf)\'','83 \% avis positifs (5,816 notes)',5cedf93ac0baab7389f4ccd7,1
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','83 \% avis positifs (5,816 notes)',5cedf93ac0baab7389f4ccd7,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(3.006102-3.995775]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','83 \% avis positifs (247 notes)',5e9915ef9fae4f26f32f15df,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.000573-2.999816]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','83 \% avis positifs (247 notes)',5e9915ef9fae4f26f32f15df,1
'\'(4.618199-6.907155]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','81 \% avis positifs (8,197 notes)',5ee717cbcb636e7b8b597fc3,1
'\'(4.618199-6.907155]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','81 \% avis positifs (8,197 notes)',5ee717cbcb636e7b8b597fc3,1
'\'(4.618199-6.907155]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(3,053 notes)',5ea8cfb44e671a04ca0e5b79,1
'\'(2.456275-4.618199]\'','\'(0.002146-0.992962]\'','\'(1.0053-1.996401]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(3,053 notes)',5ea8cfb44e671a04ca0e5b79,1
'\'(6.910279-8.514816]\'','\'(-inf-0.002146]\'','\'(4.004122-4.968891]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','87 \% avis positifs (18,877 notes)',5bb6cfd4e0334021219d5d2f,1
'\'(4.618199-6.907155]\'','\'(-inf-0.002146]\'','\'(3.006102-3.995775]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','87 \% avis positifs (18,877 notes)',5bb6cfd4e0334021219d5d2f,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.000573-2.999816]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','84 \% avis positifs (1,047 notes)',5e93d60ebc5446aedde50c50,1
'\'(2.456275-4.618199]\'','\'(0.002146-0.992962]\'','\'(1.0053-1.996401]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','84 \% avis positifs (1,047 notes)',5e93d60ebc5446aedde50c50,1
'\'(4.618199-6.907155]\'','\'(-inf-0.002146]\'','\'(4.968891-inf)\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','84 \% avis positifs (4,178 notes)',5cc67417a01bbd6b6c066df2,1
'\'(9.211215-9.899354]\'','\'(-inf-0.002146]\'','\'(4.968891-inf)\'','\'(33-inf)\'','\'(-inf-0.000077]\'','84 \% avis positifs (4,178 notes)',5cc67417a01bbd6b6c066df2,1
'\'(4.618199-6.907155]\'','\'(-inf-0.002146]\'','\'(2.000573-2.999816]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','71 \% avis positifs (942 notes)',5d832e8bdfe9c5124cb98bd2,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(2.000573-2.999816]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','71 \% avis positifs (942 notes)',5d832e8bdfe9c5124cb98bd2,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','(66,644 notes)',5edf07e70b313014b48a7450,1
'\'(4.618199-6.907155]\'','\'(-inf-0.002146]\'','\'(1.0053-1.996401]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','(66,644 notes)',5edf07e70b313014b48a7450,1
'\'(8.519045-9.208853]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','87 \% avis positifs (14,095 notes)',5cf7a100809b316c5d761f61,1
'\'(6.910279-8.514816]\'','\'(-inf-0.002146]\'','\'(3.006102-3.995775]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','87 \% avis positifs (14,095 notes)',5cf7a100809b316c5d761f61,1
'\'(8.519045-9.208853]\'','\'(0.002146-0.992962]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','89 \% avis positifs (55,499 notes)',5ca084765e18c31890903f2a,1
'\'(8.519045-9.208853]\'','\'(0.002146-0.992962]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','89 \% avis positifs (55,499 notes)',5ca084765e18c31890903f2a,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.0053-1.996401]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','83 \% avis positifs (247 notes)',5ed9de39b6befd33de8dd908,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','83 \% avis positifs (247 notes)',5ed9de39b6befd33de8dd908,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.0053-1.996401]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','83\% Feedback positivo (6 classificações)',5edda5aeb7160e568443c6e7,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.0053-1.996401]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','83\% Feedback positivo (6 classificações)',5edda5aeb7160e568443c6e7,1
'\'(6.910279-8.514816]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','(88,193 notes)',5ea8dcee238ae108c8a57aa1,1
'\'(6.910279-8.514816]\'','\'(-inf-0.002146]\'','\'(2.000573-2.999816]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','(88,193 notes)',5ea8dcee238ae108c8a57aa1,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.0053-1.996401]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(3,373 notes)',5e1bd84750f8cd462a20b05b,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.0053-1.996401]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(3,373 notes)',5e1bd84750f8cd462a20b05b,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(3.006102-3.995775]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(3,743 notes)',5e609a827dc79ebbd3899c0b,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(2.000573-2.999816]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','(3,743 notes)',5e609a827dc79ebbd3899c0b,1
'\'(4.618199-6.907155]\'','\'(0.002146-0.992962]\'','\'(3.006102-3.995775]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','89 \% avis positifs (514 notes)',5ea0f2a654446407c111b622,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.000077-0.999647]\'','89 \% avis positifs (514 notes)',5ea0f2a654446407c111b622,1
